Configuration ...
name=MKL
data=data/xue/pgp.1.pkl
data=data/xue/pgp.2.pkl
data=data/xue/pgp.3.pkl
data=data/xue/pgp.4.pkl
data=data/xue/pgp.5.pkl
parameter-selection=grid
feature-reduction=1
parameter-bound=10
folds=10
runs=5

Loading data ... 
 X = (18, 201) 	y = (201,) 	Sparsity = 0.612493090105
 X = (28, 201) 	y = (201,) 	Sparsity = 0.779850746269
 X = (42, 201) 	y = (201,) 	Sparsity = 0.374792703151
 X = (13, 201) 	y = (201,) 	Sparsity = 0.999617298125
 X = (16, 201) 	y = (201,) 	Sparsity = 0.999378109453

Classifier type ... mkl

Hyper-parameter optimization with grid-search.
Obj => 0.73160 Args =>  ['0.001', '0.001', '0.001']
Obj => 0.73160 Args =>  ['0.001', '0.001', '0.002']
Obj => 0.73160 Args =>  ['0.001', '0.001', '0.004']
Obj => 0.73160 Args =>  ['0.001', '0.001', '0.008']
Obj => 0.73160 Args =>  ['0.001', '0.001', '0.016']
Obj => 0.73160 Args =>  ['0.001', '0.001', '0.031']
Obj => 0.73160 Args =>  ['0.001', '0.001', '0.062']
Obj => 0.73160 Args =>  ['0.001', '0.001', '0.125']
Obj => 0.73160 Args =>  ['0.001', '0.001', '0.250']
Obj => 0.73160 Args =>  ['0.001', '0.001', '0.500']
Obj => 0.73160 Args =>  ['0.001', '0.001', '1.000']
Obj => 0.73160 Args =>  ['0.001', '0.001', '2.000']
Obj => 0.73160 Args =>  ['0.001', '0.001', '4.000']
Obj => 0.73160 Args =>  ['0.001', '0.001', '8.000']
Obj => 0.73160 Args =>  ['0.001', '0.001', '16.000']
Obj => 0.73160 Args =>  ['0.001', '0.001', '32.000']
Obj => 0.73160 Args =>  ['0.001', '0.001', '64.000']
Obj => 0.73160 Args =>  ['0.001', '0.001', '128.000']
Obj => 0.73160 Args =>  ['0.001', '0.001', '256.000']
Obj => 0.73160 Args =>  ['0.001', '0.001', '512.000']
Obj => 0.73160 Args =>  ['0.001', '0.002', '0.001']
Obj => 0.73160 Args =>  ['0.001', '0.002', '0.002']
Obj => 0.73160 Args =>  ['0.001', '0.002', '0.004']
Obj => 0.73160 Args =>  ['0.001', '0.002', '0.008']
Obj => 0.73160 Args =>  ['0.001', '0.002', '0.016']
Obj => 0.73160 Args =>  ['0.001', '0.002', '0.031']
Obj => 0.73160 Args =>  ['0.001', '0.002', '0.062']
Obj => 0.73160 Args =>  ['0.001', '0.002', '0.125']
Obj => 0.73160 Args =>  ['0.001', '0.002', '0.250']
Obj => 0.73160 Args =>  ['0.001', '0.002', '0.500']
Obj => 0.73160 Args =>  ['0.001', '0.002', '1.000']
Obj => 0.73160 Args =>  ['0.001', '0.002', '2.000']
Obj => 0.73160 Args =>  ['0.001', '0.002', '4.000']
Obj => 0.73160 Args =>  ['0.001', '0.002', '8.000']
Obj => 0.73160 Args =>  ['0.001', '0.002', '16.000']
Obj => 0.73160 Args =>  ['0.001', '0.002', '32.000']
Obj => 0.73160 Args =>  ['0.001', '0.002', '64.000']
Obj => 0.73160 Args =>  ['0.001', '0.002', '128.000']
Obj => 0.73160 Args =>  ['0.001', '0.002', '256.000']
Obj => 0.73160 Args =>  ['0.001', '0.002', '512.000']
Obj => 0.73160 Args =>  ['0.001', '0.004', '0.001']
Obj => 0.73160 Args =>  ['0.001', '0.004', '0.002']
Obj => 0.73160 Args =>  ['0.001', '0.004', '0.004']
Obj => 0.73160 Args =>  ['0.001', '0.004', '0.008']
Obj => 0.73160 Args =>  ['0.001', '0.004', '0.016']
Obj => 0.73160 Args =>  ['0.001', '0.004', '0.031']
Obj => 0.73160 Args =>  ['0.001', '0.004', '0.062']
Obj => 0.73160 Args =>  ['0.001', '0.004', '0.125']
Obj => 0.73160 Args =>  ['0.001', '0.004', '0.250']
Obj => 0.73160 Args =>  ['0.001', '0.004', '0.500']
