Configuration ...
name=MKL
data=data/xue/tdp.1.pkl
data=data/xue/tdp.2.pkl
data=data/xue/tdp.3.pkl
data=data/xue/tdp.4.pkl
data=data/xue/tdp.5.pkl
parameter-selection=grid
feature-reduction=1
parameter-bound=10
folds=10
runs=5

Loading data ... 
 X = (18, 361) 	y = (361,) 	Sparsity = 0.629270544783
 X = (28, 361) 	y = (361,) 	Sparsity = 0.782251681836
 X = (49, 361) 	y = (361,) 	Sparsity = 0.318503024478
 X = (13, 361) 	y = (361,) 	Sparsity = 1.0
 X = (16, 361) 	y = (361,) 	Sparsity = 0.999826869806

Classifier type ... mkl

Hyper-parameter optimization with grid-search.
Obj => 0.00000 Args =>  ['0.001', '0.001', '0.001']
Obj => 0.00000 Args =>  ['0.001', '0.001', '0.002']
Obj => 0.00000 Args =>  ['0.001', '0.001', '0.004']
Obj => 0.00000 Args =>  ['0.001', '0.001', '0.008']
Obj => 0.00000 Args =>  ['0.001', '0.001', '0.016']
Obj => 0.00000 Args =>  ['0.001', '0.001', '0.031']
Obj => 0.00000 Args =>  ['0.001', '0.001', '0.062']
Obj => 0.00000 Args =>  ['0.001', '0.001', '0.125']
Obj => 0.00000 Args =>  ['0.001', '0.001', '0.250']
Obj => 0.00000 Args =>  ['0.001', '0.001', '0.500']
Obj => 0.00000 Args =>  ['0.001', '0.001', '1.000']
Obj => 0.00000 Args =>  ['0.001', '0.001', '2.000']
Obj => 0.00000 Args =>  ['0.001', '0.001', '4.000']
Obj => 0.00000 Args =>  ['0.001', '0.001', '8.000']
Obj => 0.00000 Args =>  ['0.001', '0.001', '16.000']
Obj => 0.00000 Args =>  ['0.001', '0.001', '32.000']
Obj => 0.00000 Args =>  ['0.001', '0.001', '64.000']
Obj => 0.00000 Args =>  ['0.001', '0.001', '128.000']
Obj => 0.00000 Args =>  ['0.001', '0.001', '256.000']
Obj => 0.00000 Args =>  ['0.001', '0.001', '512.000']
Obj => 0.00000 Args =>  ['0.001', '0.002', '0.001']
Obj => 0.00000 Args =>  ['0.001', '0.002', '0.002']
Obj => 0.00000 Args =>  ['0.001', '0.002', '0.004']
Obj => 0.00000 Args =>  ['0.001', '0.002', '0.008']
Obj => 0.00000 Args =>  ['0.001', '0.002', '0.016']
Obj => 0.00000 Args =>  ['0.001', '0.002', '0.031']
Obj => 0.00000 Args =>  ['0.001', '0.002', '0.062']
Obj => 0.00000 Args =>  ['0.001', '0.002', '0.125']
Obj => 0.00000 Args =>  ['0.001', '0.002', '0.250']
Obj => 0.00000 Args =>  ['0.001', '0.002', '0.500']
Obj => 0.00000 Args =>  ['0.001', '0.002', '1.000']
Obj => 0.00000 Args =>  ['0.001', '0.002', '2.000']
Obj => 0.00000 Args =>  ['0.001', '0.002', '4.000']
Obj => 0.00000 Args =>  ['0.001', '0.002', '8.000']
Obj => 0.00000 Args =>  ['0.001', '0.002', '16.000']
Obj => 0.00000 Args =>  ['0.001', '0.002', '32.000']
Obj => 0.00000 Args =>  ['0.001', '0.002', '64.000']
Obj => 0.00000 Args =>  ['0.001', '0.002', '128.000']
Obj => 0.00000 Args =>  ['0.001', '0.002', '256.000']
Obj => 0.00000 Args =>  ['0.001', '0.002', '512.000']
Obj => 0.38095 Args =>  ['0.001', '0.004', '0.001']
Obj => 0.38095 Args =>  ['0.001', '0.004', '0.002']
Obj => 0.38095 Args =>  ['0.001', '0.004', '0.004']
Obj => 0.38095 Args =>  ['0.001', '0.004', '0.008']
Obj => 0.38095 Args =>  ['0.001', '0.004', '0.016']
Obj => 0.38095 Args =>  ['0.001', '0.004', '0.031']
Obj => 0.38095 Args =>  ['0.001', '0.004', '0.062']
Obj => 0.38095 Args =>  ['0.001', '0.004', '0.125']
Obj => 0.38095 Args =>  ['0.001', '0.004', '0.250']
Obj => 0.38095 Args =>  ['0.001', '0.004', '0.500']
Obj => 0.38095 Args =>  ['0.001', '0.004', '1.000']
Obj => 0.38095 Args =>  ['0.001', '0.004', '2.000']
Obj => 0.38095 Args =>  ['0.001', '0.004', '4.000']
Obj => 0.38095 Args =>  ['0.001', '0.004', '8.000']
Obj => 0.38095 Args =>  ['0.001', '0.004', '16.000']
Obj => 0.38095 Args =>  ['0.001', '0.004', '32.000']
Obj => 0.38095 Args =>  ['0.001', '0.004', '64.000']
Obj => 0.38095 Args =>  ['0.001', '0.004', '128.000']
Obj => 0.38095 Args =>  ['0.001', '0.004', '256.000']
Obj => 0.38095 Args =>  ['0.001', '0.004', '512.000']
Obj => 0.38095 Args =>  ['0.001', '0.008', '0.001']
Obj => 0.38095 Args =>  ['0.001', '0.008', '0.002']
Obj => 0.38095 Args =>  ['0.001', '0.008', '0.004']
Obj => 0.38095 Args =>  ['0.001', '0.008', '0.008']
Obj => 0.38095 Args =>  ['0.001', '0.008', '0.016']
Obj => 0.38095 Args =>  ['0.001', '0.008', '0.031']
Obj => 0.38095 Args =>  ['0.001', '0.008', '0.062']
Obj => 0.38095 Args =>  ['0.001', '0.008', '0.125']
Obj => 0.38095 Args =>  ['0.001', '0.008', '0.250']
Obj => 0.38095 Args =>  ['0.001', '0.008', '0.500']
Obj => 0.38095 Args =>  ['0.001', '0.008', '1.000']
Obj => 0.38095 Args =>  ['0.001', '0.008', '2.000']
Obj => 0.38095 Args =>  ['0.001', '0.008', '4.000']
Obj => 0.38095 Args =>  ['0.001', '0.008', '8.000']
Obj => 0.38095 Args =>  ['0.001', '0.008', '16.000']
